102051 silly lifecycle isexe@2.0.0~preinstall: no script for preinstall, continuing
103271 silly finalize /home/azureuser/compair/node_modules/require-directory
103272 silly finalize /home/azureuser/compair/node_modules/require-main-filename
103273 silly finalize /home/azureuser/compair/node_modules/requires-port
103274 silly finalize /home/azureuser/compair/node_modules/http-proxy
103275 silly finalize /home/azureuser/compair/node_modules/resolve
103276 silly finalize /home/azureuser/compair/node_modules/rechoir
103277 silly finalize /home/azureuser/compair/node_modules/resolve-url
103278 silly finalize /home/azureuser/compair/node_modules/restore-cursor
103279 silly finalize /home/azureuser/compair/node_modules/cli-cursor
103280 silly finalize /home/azureuser/compair/node_modules/ret
103281 silly finalize /home/azureuser/compair/node_modules/rev-hash
103282 silly finalize /home/azureuser/compair/node_modules/rev-path
103283 silly finalize /home/azureuser/compair/node_modules/rfdc
103284 silly finalize /home/azureuser/compair/node_modules/right-align
103285 silly finalize /home/azureuser/compair/node_modules/rx-lite
103286 silly finalize /home/azureuser/compair/node_modules/safe-buffer
103287 silly finalize /home/azureuser/compair/node_modules/convert-source-map
103288 silly finalize /home/azureuser/compair/node_modules/safe-json-parse
103289 silly finalize /home/azureuser/compair/node_modules/safe-regex
103290 silly finalize /home/azureuser/compair/node_modules/regex-not
103291 silly finalize /home/azureuser/compair/node_modules/safer-buffer
103292 silly finalize /home/azureuser/compair/node_modules/iconv-lite
103293 silly finalize /home/azureuser/compair/node_modules/ecc-jsbn
103294 silly finalize /home/azureuser/compair/node_modules/asn1
103295 silly finalize /home/azureuser/compair/node_modules/sauce-connect-launcher/node_modules/async
103296 silly finalize /home/azureuser/compair/node_modules/saucelabs
103297 silly finalize /home/azureuser/compair/node_modules/sax
103298 silly finalize /home/azureuser/compair/node_modules/semver
103299 silly finalize /home/azureuser/compair/node_modules/send/node_modules/statuses
103300 silly finalize /home/azureuser/compair/node_modules/serve-static/node_modules/mime
103301 silly finalize /home/azureuser/compair/node_modules/serve-static/node_modules/ms
103302 silly finalize /home/azureuser/compair/node_modules/serve-static/node_modules/setprototypeof
103303 silly finalize /home/azureuser/compair/node_modules/set-blocking
103304 silly finalize /home/azureuser/compair/node_modules/set-immediate-shim
103305 silly finalize /home/azureuser/compair/node_modules/set-value/node_modules/extend-shallow
103306 silly finalize /home/azureuser/compair/node_modules/setprototypeof
103307 silly finalize /home/azureuser/compair/node_modules/signal-exit
103308 silly finalize /home/azureuser/compair/node_modules/loud-rejection
103309 silly finalize /home/azureuser/compair/node_modules/slash
103310 silly finalize /home/azureuser/compair/node_modules/snapdragon-node/node_modules/is-accessor-descriptor
103311 silly finalize /home/azureuser/compair/node_modules/snapdragon-node/node_modules/is-data-descriptor
103312 silly finalize /home/azureuser/compair/node_modules/snapdragon-node/node_modules/is-descriptor
103313 silly finalize /home/azureuser/compair/node_modules/snapdragon-node/node_modules/define-property
103314 silly finalize /home/azureuser/compair/node_modules/snapdragon-util/node_modules/kind-of
103315 silly finalize /home/azureuser/compair/node_modules/snapdragon-util
103316 silly finalize /home/azureuser/compair/node_modules/snapdragon-node
103317 silly finalize /home/azureuser/compair/node_modules/snapdragon/node_modules/define-property
103318 silly finalize /home/azureuser/compair/node_modules/snapdragon/node_modules/extend-shallow
103319 silly finalize /home/azureuser/compair/node_modules/socket.io-adapter
103320 silly finalize /home/azureuser/compair/node_modules/socket.io-client/node_modules/component-emitter
103321 silly finalize /home/azureuser/compair/node_modules/socket.io-client/node_modules/debug
103322 silly finalize /home/azureuser/compair/node_modules/socket.io-parser/node_modules/component-emitter
103323 silly finalize /home/azureuser/compair/node_modules/socket.io-parser/node_modules/debug
103324 silly finalize /home/azureuser/compair/node_modules/socket.io-parser/node_modules/isarray
103325 silly finalize /home/azureuser/compair/node_modules/socket.io-parser
103326 silly finalize /home/azureuser/compair/node_modules/socket.io/node_modules/debug
103327 silly finalize /home/azureuser/compair/node_modules/sort-keys
103328 silly finalize /home/azureuser/compair/node_modules/source-map
103329 silly finalize /home/azureuser/compair/node_modules/source-map-support
103330 silly finalize /home/azureuser/compair/node_modules/source-map-url
103331 silly finalize /home/azureuser/compair/node_modules/sparkles
103332 silly finalize /home/azureuser/compair/node_modules/has-gulplog
103333 silly finalize /home/azureuser/compair/node_modules/glogg
103334 silly finalize /home/azureuser/compair/node_modules/gulplog
103335 silly finalize /home/azureuser/compair/node_modules/spdx-exceptions
103336 silly finalize /home/azureuser/compair/node_modules/spdx-license-ids
103337 silly finalize /home/azureuser/compair/node_modules/spdx-expression-parse
103338 silly finalize /home/azureuser/compair/node_modules/spdx-correct
103339 silly finalize /home/azureuser/compair/node_modules/split-string
103340 silly finalize /home/azureuser/compair/node_modules/set-value
103341 silly finalize /home/azureuser/compair/node_modules/stack-chain
103342 silly finalize /home/azureuser/compair/node_modules/stack-generator/node_modules/stackframe
103343 silly finalize /home/azureuser/compair/node_modules/stack-generator
103344 silly finalize /home/azureuser/compair/node_modules/stack-trace
103345 silly finalize /home/azureuser/compair/node_modules/stackframe
103346 silly finalize /home/azureuser/compair/node_modules/error-stack-parser
103347 silly finalize /home/azureuser/compair/node_modules/stacktrace-gps/node_modules/source-map
103348 silly finalize /home/azureuser/compair/node_modules/stacktrace-gps
103349 silly finalize /home/azureuser/compair/node_modules/stacktrace-js
103350 silly finalize /home/azureuser/compair/node_modules/static-extend/node_modules/define-property
103351 silly finalize /home/azureuser/compair/node_modules/static-extend
103352 silly finalize /home/azureuser/compair/node_modules/class-utils
103353 silly finalize /home/azureuser/compair/node_modules/statuses
103354 silly finalize /home/azureuser/compair/node_modules/http-errors
103355 silly finalize /home/azureuser/compair/node_modules/serve-index
103356 silly finalize /home/azureuser/compair/node_modules/send
103357 silly finalize /home/azureuser/compair/node_modules/stream-exhaust
103358 silly finalize /home/azureuser/compair/node_modules/stream-shift
103359 silly finalize /home/azureuser/compair/node_modules/stream-to-array
103360 silly finalize /home/azureuser/compair/node_modules/streamroller/node_modules/async
103361 silly finalize /home/azureuser/compair/node_modules/streamroller/node_modules/ms
103362 silly finalize /home/azureuser/compair/node_modules/streamroller/node_modules/debug
103363 silly finalize /home/azureuser/compair/node_modules/string_decoder
103364 silly finalize /home/azureuser/compair/node_modules/string-template
103365 silly finalize /home/azureuser/compair/node_modules/strip-ansi
103366 silly finalize /home/azureuser/compair/node_modules/string-width
103367 silly finalize /home/azureuser/compair/node_modules/strip-bom
103368 silly finalize /home/azureuser/compair/node_modules/main-bower-files/node_modules/strip-bom-stream
103369 silly finalize /home/azureuser/compair/node_modules/load-json-file
103370 silly finalize /home/azureuser/compair/node_modules/strip-bom-buf
103371 silly finalize /home/azureuser/compair/node_modules/strip-indent
103372 silly finalize /home/azureuser/compair/node_modules/redent
103373 silly finalize /home/azureuser/compair/node_modules/strip-json-comments
103374 silly finalize /home/azureuser/compair/node_modules/supports-color
103375 silly finalize /home/azureuser/compair/node_modules/chalk
103376 silly finalize /home/azureuser/compair/node_modules/throttleit
103377 silly finalize /home/azureuser/compair/node_modules/request-progress
103378 silly finalize /home/azureuser/compair/node_modules/through
103379 silly finalize /home/azureuser/compair/node_modules/stream-combiner
103380 silly finalize /home/azureuser/compair/node_modules/split
103381 silly finalize /home/azureuser/compair/node_modules/pause-stream
103382 silly finalize /home/azureuser/compair/node_modules/event-stream
103383 silly finalize /home/azureuser/compair/node_modules/time-stamp
103384 silly finalize /home/azureuser/compair/node_modules/fancy-log
103385 silly finalize /home/azureuser/compair/node_modules/tiny-lr/node_modules/ms
103386 silly finalize /home/azureuser/compair/node_modules/tiny-lr/node_modules/debug
103387 silly finalize /home/azureuser/compair/node_modules/tmp
103388 silly finalize /home/azureuser/compair/node_modules/to-array
103389 silly finalize /home/azureuser/compair/node_modules/to-object-path/node_modules/kind-of
103390 silly finalize /home/azureuser/compair/node_modules/to-object-path
103391 silly finalize /home/azureuser/compair/node_modules/group-array/node_modules/set-value
103392 silly finalize /home/azureuser/compair/node_modules/group-array/node_modules/union-value
103393 silly finalize /home/azureuser/compair/node_modules/group-array
103394 silly finalize /home/azureuser/compair/node_modules/to-regex
103395 silly finalize /home/azureuser/compair/node_modules/to-regex-range
103396 silly finalize /home/azureuser/compair/node_modules/fill-range
103397 silly finalize /home/azureuser/compair/node_modules/toidentifier
103398 silly finalize /home/azureuser/compair/node_modules/serve-static/node_modules/http-errors
103399 silly finalize /home/azureuser/compair/node_modules/serve-static/node_modules/send
103400 silly finalize /home/azureuser/compair/node_modules/serve-static
103401 silly finalize /home/azureuser/compair/node_modules/body-parser/node_modules/http-errors
103402 silly finalize /home/azureuser/compair/node_modules/toposort-class
103403 silly finalize /home/azureuser/compair/node_modules/tough-cookie/node_modules/punycode
103404 silly finalize /home/azureuser/compair/node_modules/tough-cookie
103405 silly finalize /home/azureuser/compair/node_modules/trim-newlines
103406 silly finalize /home/azureuser/compair/node_modules/tunnel-agent
103407 silly finalize /home/azureuser/compair/node_modules/tweetnacl
103408 silly finalize /home/azureuser/compair/node_modules/bcrypt-pbkdf
103409 silly finalize /home/azureuser/compair/node_modules/sshpk
103410 silly finalize /home/azureuser/compair/node_modules/type
103411 silly finalize /home/azureuser/compair/node_modules/d
103412 silly finalize /home/azureuser/compair/node_modules/es6-iterator
103413 silly finalize /home/azureuser/compair/node_modules/es5-ext
103414 silly finalize /home/azureuser/compair/node_modules/es6-symbol
103415 silly finalize /home/azureuser/compair/node_modules/sver-compat
103416 silly finalize /home/azureuser/compair/node_modules/semver-greatest-satisfied-range
103417 silly finalize /home/azureuser/compair/node_modules/es6-weak-map
103418 silly finalize /home/azureuser/compair/node_modules/last-run
103419 silly finalize /home/azureuser/compair/node_modules/duration
103420 silly finalize /home/azureuser/compair/node_modules/type-detect
103421 silly finalize /home/azureuser/compair/node_modules/deep-eql
103422 silly finalize /home/azureuser/compair/node_modules/chai
103423 silly finalize /home/azureuser/compair/node_modules/type-is
103424 silly finalize /home/azureuser/compair/node_modules/typedarray
103425 silly finalize /home/azureuser/compair/node_modules/uglify-js/node_modules/camelcase
103426 silly finalize /home/azureuser/compair/node_modules/uglify-to-browserify
103427 silly finalize /home/azureuser/compair/node_modules/ultron
103428 silly finalize /home/azureuser/compair/node_modules/unc-path-regex
103429 silly finalize /home/azureuser/compair/node_modules/is-unc-path
103430 silly finalize /home/azureuser/compair/node_modules/is-relative
103431 silly finalize /home/azureuser/compair/node_modules/is-absolute
103432 silly finalize /home/azureuser/compair/node_modules/to-absolute-glob
103433 silly finalize /home/azureuser/compair/node_modules/replace-homedir
103434 silly finalize /home/azureuser/compair/node_modules/parse-filepath
103435 silly finalize /home/azureuser/compair/node_modules/fined
103436 silly finalize /home/azureuser/compair/node_modules/undertaker-registry
103437 silly finalize /home/azureuser/compair/node_modules/union-value
103438 silly finalize /home/azureuser/compair/node_modules/universalify
103439 silly finalize /home/azureuser/compair/node_modules/fs-extra
103440 silly finalize /home/azureuser/compair/node_modules/streamroller
103441 silly finalize /home/azureuser/compair/node_modules/log4js
103442 silly finalize /home/azureuser/compair/node_modules/unpipe
103443 silly finalize /home/azureuser/compair/node_modules/finalhandler
103444 silly finalize /home/azureuser/compair/node_modules/body-parser/node_modules/raw-body
103445 silly finalize /home/azureuser/compair/node_modules/body-parser
103446 silly finalize /home/azureuser/compair/node_modules/unset-value/node_modules/has-value/node_modules/isobject
103447 silly finalize /home/azureuser/compair/node_modules/unset-value/node_modules/has-values
103448 silly finalize /home/azureuser/compair/node_modules/unset-value/node_modules/has-value
103449 silly finalize /home/azureuser/compair/node_modules/unset-value
103450 silly finalize /home/azureuser/compair/node_modules/cache-base
103451 silly finalize /home/azureuser/compair/node_modules/base
103452 silly finalize /home/azureuser/compair/node_modules/untildify
103453 silly finalize /home/azureuser/compair/node_modules/upath
103454 silly finalize /home/azureuser/compair/node_modules/upper-case
103455 silly finalize /home/azureuser/compair/node_modules/camel-case
103456 silly finalize /home/azureuser/compair/node_modules/uri-js
103457 silly finalize /home/azureuser/compair/node_modules/ajv
103458 silly finalize /home/azureuser/compair/node_modules/har-validator
103459 silly finalize /home/azureuser/compair/node_modules/urix
103460 silly finalize /home/azureuser/compair/node_modules/source-map-resolve
103461 silly finalize /home/azureuser/compair/node_modules/use
103462 silly finalize /home/azureuser/compair/node_modules/snapdragon
103463 silly finalize /home/azureuser/compair/node_modules/nanomatch
103464 silly finalize /home/azureuser/compair/node_modules/expand-brackets
103465 silly finalize /home/azureuser/compair/node_modules/extglob
103466 silly finalize /home/azureuser/compair/node_modules/braces
103467 silly finalize /home/azureuser/compair/node_modules/micromatch
103468 silly finalize /home/azureuser/compair/node_modules/anymatch
103469 silly finalize /home/azureuser/compair/node_modules/util-deprecate
103470 silly finalize /home/azureuser/compair/node_modules/readable-stream
103471 silly finalize /home/azureuser/compair/node_modules/readdirp
103472 silly finalize /home/azureuser/compair/node_modules/chokidar
103473 silly finalize /home/azureuser/compair/node_modules/ordered-read-streams
103474 silly finalize /home/azureuser/compair/node_modules/merge-stream
103475 silly finalize /home/azureuser/compair/node_modules/main-bower-files/node_modules/ordered-read-streams
103476 silly finalize /home/azureuser/compair/node_modules/lazystream
103477 silly finalize /home/azureuser/compair/node_modules/jszip
103478 silly finalize /home/azureuser/compair/node_modules/gulp-inject/node_modules/through2
103479 silly finalize /home/azureuser/compair/node_modules/flush-write-stream
103480 silly finalize /home/azureuser/compair/node_modules/lead
103481 silly finalize /home/azureuser/compair/node_modules/first-chunk-stream
103482 silly finalize /home/azureuser/compair/node_modules/strip-bom-stream
103483 silly finalize /home/azureuser/compair/node_modules/concat-stream
103484 silly finalize /home/azureuser/compair/node_modules/cloneable-readable
103485 silly finalize /home/azureuser/compair/node_modules/bl
103486 silly finalize /home/azureuser/compair/node_modules/utils-merge
103487 silly finalize /home/azureuser/compair/node_modules/connect
103488 silly finalize /home/azureuser/compair/node_modules/uuid
103489 silly finalize /home/azureuser/compair/node_modules/v8flags
103490 silly finalize /home/azureuser/compair/node_modules/vali-date
103491 silly finalize /home/azureuser/compair/node_modules/validate-npm-package-license
103492 silly finalize /home/azureuser/compair/node_modules/normalize-package-data
103493 silly finalize /home/azureuser/compair/node_modules/read-pkg
103494 silly finalize /home/azureuser/compair/node_modules/read-pkg-up
103495 silly finalize /home/azureuser/compair/node_modules/meow
103496 silly finalize /home/azureuser/compair/node_modules/dateformat
103497 silly finalize /home/azureuser/compair/node_modules/gulp-util
103498 silly finalize /home/azureuser/compair/node_modules/gulp-concat-vendor/node_modules/gulp-concat
103499 silly finalize /home/azureuser/compair/node_modules/value-or-function
103500 silly finalize /home/azureuser/compair/node_modules/resolve-options
103501 silly finalize /home/azureuser/compair/node_modules/verror
103502 silly finalize /home/azureuser/compair/node_modules/jsprim
103503 silly finalize /home/azureuser/compair/node_modules/http-signature
103504 silly finalize /home/azureuser/compair/node_modules/request
103505 silly finalize /home/azureuser/compair/node_modules/less
103506 silly finalize /home/azureuser/compair/node_modules/vinyl
103507 silly finalize /home/azureuser/compair/node_modules/vinyl-file
103508 silly finalize /home/azureuser/compair/node_modules/vinyl-sourcemaps-apply
103509 silly finalize /home/azureuser/compair/node_modules/void-elements
103510 silly finalize /home/azureuser/compair/node_modules/dom-serialize
103511 silly finalize /home/azureuser/compair/node_modules/walk
103512 silly finalize /home/azureuser/compair/node_modules/websocket-extensions
103513 silly finalize /home/azureuser/compair/node_modules/websocket-driver
103514 silly finalize /home/azureuser/compair/node_modules/faye-websocket
103515 silly finalize /home/azureuser/compair/node_modules/when
103516 silly finalize /home/azureuser/compair/node_modules/which
103517 silly finalize /home/azureuser/compair/node_modules/karma-chrome-launcher
103518 silly finalize /home/azureuser/compair/node_modules/global-prefix
103519 silly finalize /home/azureuser/compair/node_modules/global-modules
103520 silly finalize /home/azureuser/compair/node_modules/resolve-dir
103521 silly finalize /home/azureuser/compair/node_modules/matchdep/node_modules/findup-sync
103522 silly finalize /home/azureuser/compair/node_modules/matchdep
103523 silly finalize /home/azureuser/compair/node_modules/findup-sync
103524 silly finalize /home/azureuser/compair/node_modules/liftoff
103525 silly finalize /home/azureuser/compair/node_modules/which-module
103526 silly finalize /home/azureuser/compair/node_modules/window-size
103527 silly finalize /home/azureuser/compair/node_modules/wiredep-cli/node_modules/minimist
103528 silly finalize /home/azureuser/compair/node_modules/wiredep/node_modules/lodash
103529 silly finalize /home/azureuser/compair/node_modules/wordwrap
103530 silly finalize /home/azureuser/compair/node_modules/uglify-js/node_modules/cliui
103531 silly finalize /home/azureuser/compair/node_modules/uglify-js/node_modules/yargs
103532 silly finalize /home/azureuser/compair/node_modules/uglify-js
103533 silly finalize /home/azureuser/compair/node_modules/optimist
103534 silly finalize /home/azureuser/compair/node_modules/bower-config
103535 silly finalize /home/azureuser/compair/node_modules/wrap-ansi
103536 silly finalize /home/azureuser/compair/node_modules/cliui
103537 silly finalize /home/azureuser/compair/node_modules/wrappy
103538 silly finalize /home/azureuser/compair/node_modules/once
103539 silly finalize /home/azureuser/compair/node_modules/run-async
103540 silly finalize /home/azureuser/compair/node_modules/inquirer
103541 silly finalize /home/azureuser/compair/node_modules/now-and-later
103542 silly finalize /home/azureuser/compair/node_modules/vinyl-sourcemap
103543 silly finalize /home/azureuser/compair/node_modules/end-of-stream
103544 silly finalize /home/azureuser/compair/node_modules/pump
103545 silly finalize /home/azureuser/compair/node_modules/duplexify
103546 silly finalize /home/azureuser/compair/node_modules/pumpify
103547 silly finalize /home/azureuser/compair/node_modules/async-done
103548 silly finalize /home/azureuser/compair/node_modules/glob-watcher
103549 silly finalize /home/azureuser/compair/node_modules/async-settle
103550 silly finalize /home/azureuser/compair/node_modules/bach
103551 silly finalize /home/azureuser/compair/node_modules/undertaker
103552 silly finalize /home/azureuser/compair/node_modules/inflight
103553 silly finalize /home/azureuser/compair/node_modules/main-bower-files/node_modules/glob
103554 silly finalize /home/azureuser/compair/node_modules/globby/node_modules/glob
103555 silly finalize /home/azureuser/compair/node_modules/globby
103556 silly finalize /home/azureuser/compair/node_modules/glob
103557 silly finalize /home/azureuser/compair/node_modules/rimraf
103558 silly finalize /home/azureuser/compair/node_modules/sauce-connect-launcher
103559 silly finalize /home/azureuser/compair/node_modules/protractor/node_modules/globby
103560 silly finalize /home/azureuser/compair/node_modules/protractor/node_modules/del
103561 silly finalize /home/azureuser/compair/node_modules/protractor-cucumber-framework
103562 silly finalize /home/azureuser/compair/node_modules/jasmine
103563 silly finalize /home/azureuser/compair/node_modules/del/node_modules/globby
103564 silly finalize /home/azureuser/compair/node_modules/del
103565 silly finalize /home/azureuser/compair/node_modules/cucumber
103566 silly finalize /home/azureuser/compair/node_modules/accord
103567 silly finalize /home/azureuser/compair/node_modules/ws
103568 silly finalize /home/azureuser/compair/node_modules/engine.io
103569 silly finalize /home/azureuser/compair/node_modules/xmlbuilder
103570 silly finalize /home/azureuser/compair/node_modules/xml2js
103571 silly finalize /home/azureuser/compair/node_modules/selenium-webdriver
103572 silly finalize /home/azureuser/compair/node_modules/webdriver-js-extender
103573 silly finalize /home/azureuser/compair/node_modules/protractor/node_modules/webdriver-manager
103574 silly finalize /home/azureuser/compair/node_modules/protractor
103575 silly finalize /home/azureuser/compair/node_modules/gulp-protractor
103576 silly finalize /home/azureuser/compair/node_modules/xmlhttprequest-ssl
103577 silly finalize /home/azureuser/compair/node_modules/xtend
103578 silly finalize /home/azureuser/compair/node_modules/through2
103579 silly finalize /home/azureuser/compair/node_modules/wiredep
103580 silly finalize /home/azureuser/compair/node_modules/wiredep-cli
103581 silly finalize /home/azureuser/compair/node_modules/vinyl-buffer
103582 silly finalize /home/azureuser/compair/node_modules/to-through
103583 silly finalize /home/azureuser/compair/node_modules/through2-filter
103584 silly finalize /home/azureuser/compair/node_modules/unique-stream
103585 silly finalize /home/azureuser/compair/node_modules/glob-stream
103586 silly finalize /home/azureuser/compair/node_modules/remove-bom-stream
103587 silly finalize /home/azureuser/compair/node_modules/gulp-sourcemaps
103588 silly finalize /home/azureuser/compair/node_modules/gulp-print/node_modules/gulp-util
103589 silly finalize /home/azureuser/compair/node_modules/gulp-header
103590 silly finalize /home/azureuser/compair/node_modules/gulp-concat
103591 silly finalize /home/azureuser/compair/node_modules/fs-mkdirp-stream
103592 silly finalize /home/azureuser/compair/node_modules/vinyl-fs
103593 silly finalize /home/azureuser/compair/node_modules/main-bower-files/node_modules/through2-filter
103594 silly finalize /home/azureuser/compair/node_modules/main-bower-files/node_modules/glob-stream/node_modules/through2
103595 silly finalize /home/azureuser/compair/node_modules/main-bower-files/node_modules/glob-stream
103596 silly finalize /home/azureuser/compair/node_modules/main-bower-files/node_modules/vinyl-fs
103597 silly finalize /home/azureuser/compair/node_modules/gulp-clean-css/node_modules/through2
103598 silly finalize /home/azureuser/compair/node_modules/gulp-bower/node_modules/through2
103599 silly finalize /home/azureuser/compair/node_modules/error
103600 silly finalize /home/azureuser/compair/node_modules/body
103601 silly finalize /home/azureuser/compair/node_modules/tiny-lr
103602 silly finalize /home/azureuser/compair/node_modules/y18n
103603 silly finalize /home/azureuser/compair/node_modules/yallist
103604 silly finalize /home/azureuser/compair/node_modules/lru-cache
103605 silly finalize /home/azureuser/compair/node_modules/useragent
103606 silly finalize /home/azureuser/compair/node_modules/yargs-parser
103607 silly finalize /home/azureuser/compair/node_modules/yargs
103608 silly finalize /home/azureuser/compair/node_modules/gulp-cli
103609 silly finalize /home/azureuser/compair/node_modules/yauzl
103610 silly finalize /home/azureuser/compair/node_modules/extract-zip
103611 silly finalize /home/azureuser/compair/node_modules/phantomjs-prebuilt
103612 silly finalize /home/azureuser/compair/node_modules/karma-phantomjs-launcher
103613 silly finalize /home/azureuser/compair/node_modules/yeast
103614 silly finalize /home/azureuser/compair/node_modules/engine.io-client
103615 silly finalize /home/azureuser/compair/node_modules/socket.io-client
103616 silly finalize /home/azureuser/compair/node_modules/socket.io
103617 silly finalize /home/azureuser/compair/node_modules/karma
103618 silly finalize /home/azureuser/compair/node_modules/gulp
103619 silly finalize /home/azureuser/compair/node_modules/gulp-angular-templatecache
103620 silly finalize /home/azureuser/compair/node_modules/gulp-bower
103621 silly finalize /home/azureuser/compair/node_modules/gulp-clean-css
103622 silly finalize /home/azureuser/compair/node_modules/gulp-concat-vendor
103623 silly finalize /home/azureuser/compair/node_modules/gulp-connect
103624 silly finalize /home/azureuser/compair/node_modules/gulp-html-replace
103625 silly finalize /home/azureuser/compair/node_modules/gulp-inject
103626 silly finalize /home/azureuser/compair/node_modules/gulp-less
103627 silly finalize /home/azureuser/compair/node_modules/gulp-print
103628 silly finalize /home/azureuser/compair/node_modules/gulp-rev
103629 silly finalize /home/azureuser/compair/node_modules/gulp-sort
103630 silly finalize /home/azureuser/compair/node_modules/gulp-uglify
103631 silly finalize /home/azureuser/compair/node_modules/main-bower-files
103632 silly finalize /home/azureuser/compair/node_modules/proxy-middleware
103633 silly finalize /home/azureuser/compair/node_modules/streamqueue
103634 silly doSerial build 930
103635 silly build @types/q@0.0.32
103636 info linkStuff @types/q@0.0.32
103637 silly linkStuff @types/q@0.0.32 has /home/azureuser/compair/node_modules as its parent node_modules
103638 verbose linkBins @types/q@0.0.32
103639 verbose linkMans @types/q@0.0.32
103640 silly build @types/selenium-webdriver@3.0.16
103641 info linkStuff @types/selenium-webdriver@3.0.16
103642 silly linkStuff @types/selenium-webdriver@3.0.16 has /home/azureuser/compair/node_modules as its parent node_modules
103643 verbose linkBins @types/selenium-webdriver@3.0.16
103644 verbose linkMans @types/selenium-webdriver@3.0.16
103645 silly build lodash.defaults@4.2.0
103646 info linkStuff lodash.defaults@4.2.0
103647 silly linkStuff lodash.defaults@4.2.0 has /home/azureuser/compair/node_modules/accord/node_modules as its parent node_modules
103648 verbose linkBins lodash.defaults@4.2.0
103649 verbose linkMans lodash.defaults@4.2.0
103650 silly build adm-zip@0.4.13
103651 info linkStuff adm-zip@0.4.13
103652 silly linkStuff adm-zip@0.4.13 has /home/azureuser/compair/node_modules as its parent node_modules
103653 verbose linkBins adm-zip@0.4.13
103654 verbose linkMans adm-zip@0.4.13
103655 silly build after@0.8.2
103656 info linkStuff after@0.8.2
103657 silly linkStuff after@0.8.2 has /home/azureuser/compair/node_modules as its parent node_modules
103658 verbose linkBins after@0.8.2
103659 verbose linkMans after@0.8.2
103660 silly build ansi-escapes@1.4.0
103661 info linkStuff ansi-escapes@1.4.0
103662 silly linkStuff ansi-escapes@1.4.0 has /home/azureuser/compair/node_modules as its parent node_modules
103663 verbose linkBins ansi-escapes@1.4.0
103664 verbose linkMans ansi-escapes@1.4.0
103665 silly build ansi-regex@2.1.1
103666 info linkStuff ansi-regex@2.1.1
103667 silly linkStuff ansi-regex@2.1.1 has /home/azureuser/compair/node_modules as its parent node_modules
103668 verbose linkBins ansi-regex@2.1.1
103669 verbose linkMans ansi-regex@2.1.1
103670 silly build ansi-styles@2.2.1
103671 info linkStuff ansi-styles@2.2.1
103672 silly linkStuff ansi-styles@2.2.1 has /home/azureuser/compair/node_modules as its parent node_modules
103673 verbose linkBins ansi-styles@2.2.1
103674 verbose linkMans ansi-styles@2.2.1
103675 silly build ansi-wrap@0.1.0
103676 info linkStuff ansi-wrap@0.1.0
103677 silly linkStuff ansi-wrap@0.1.0 has /home/azureuser/compair/node_modules as its parent node_modules
103678 verbose linkBins ansi-wrap@0.1.0
103679 verbose linkMans ansi-wrap@0.1.0
103680 silly build ansi-red@0.1.1
103681 info linkStuff ansi-red@0.1.1
103682 silly linkStuff ansi-red@0.1.1 has /home/azureuser/compair/node_modules as its parent node_modules
103683 verbose linkBins ansi-red@0.1.1
103684 verbose linkMans ansi-red@0.1.1
103685 silly build ansi-gray@0.1.1
103686 info linkStuff ansi-gray@0.1.1
103687 silly linkStuff ansi-gray@0.1.1 has /home/azureuser/compair/node_modules as its parent node_modules
103688 verbose linkBins ansi-gray@0.1.1
103689 verbose linkMans ansi-gray@0.1.1
103690 silly build ansi-cyan@0.1.1
103691 info linkStuff ansi-cyan@0.1.1
103692 silly linkStuff ansi-cyan@0.1.1 has /home/azureuser/compair/node_modules as its parent node_modules
103693 verbose linkBins ansi-cyan@0.1.1
103694 verbose linkMans ansi-cyan@0.1.1
103695 silly build ansi-colors@1.1.0
103696 info linkStuff ansi-colors@1.1.0
103697 silly linkStuff ansi-colors@1.1.0 has /home/azureuser/compair/node_modules as its parent node_modules
103698 verbose linkBins ansi-colors@1.1.0
103699 verbose linkMans ansi-colors@1.1.0
103700 silly build any-promise@1.3.0
103701 info linkStuff any-promise@1.3.0
103702 silly linkStuff any-promise@1.3.0 has /home/azureuser/compair/node_modules as its parent node_modules
103703 verbose linkBins any-promise@1.3.0
103704 verbose linkMans any-promise@1.3.0
103705 silly build archy@1.0.0
103706 info linkStuff archy@1.0.0
103707 silly linkStuff archy@1.0.0 has /home/azureuser/compair/node_modules as its parent node_modules
103708 verbose linkBins archy@1.0.0
103709 verbose linkMans archy@1.0.0
103710 silly build arr-diff@4.0.0
103711 info linkStuff arr-diff@4.0.0
103712 silly linkStuff arr-diff@4.0.0 has /home/azureuser/compair/node_modules as its parent node_modules
103713 verbose linkBins arr-diff@4.0.0
103714 verbose linkMans arr-diff@4.0.0
103715 silly build arr-flatten@1.1.0
103716 info linkStuff arr-flatten@1.1.0
103717 silly linkStuff arr-flatten@1.1.0 has /home/azureuser/compair/node_modules as its parent node_modules
103718 verbose linkBins arr-flatten@1.1.0
103719 verbose linkMans arr-flatten@1.1.0
103720 silly build arr-union@3.1.0
103721 info linkStuff arr-union@3.1.0
103722 silly linkStuff arr-union@3.1.0 has /home/azureuser/compair/node_modules as its parent node_modules
103723 verbose linkBins arr-union@3.1.0
103724 verbose linkMans arr-union@3.1.0
103725 silly build array-differ@1.0.0
103726 info linkStuff array-differ@1.0.0
103727 silly linkStuff array-differ@1.0.0 has /home/azureuser/compair/node_modules as its parent node_modules
